"source","variant","age_band","age_from","age_to","living_arrangement","payment_category","payment_category_share","income_lower","income_upper","weighted_mean_income","income_bin_share","weighted_n","base_income_year","income_growth_default","caveat_flags"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_sharing","single_sharing",0.110806595969222,100000,150000,121321.146369427,0.0571116769734449,0.00632835051552123,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_sharing","single_sharing",0.110806595969222,150000,250000,217236.320639585,0.0420880320116406,0.00466363155825355,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","65-69",65,70,"single_sharing","single_sharing",0.110806595969222,250000,Inf,0,0,0,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"couple","couple",0.673082544300129,0,500,0,0.196575222785252,0.132311351098662,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"couple","couple",0.673082544300129,500,1000,631.419999999998,0.0572689149047702,0.0385467069534103,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"couple","couple",0.673082544300129,1000,2000,1631.42,0.0318888694740521,0.0214638414004497,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"couple","couple",0.673082544300129,2000,5000,3919.9488966725,0.0997728464092259,0.0671553613131878,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"couple","couple",0.673082544300129,5000,10000,7618.95894080997,0.182290756596191,0.12269672625216,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"couple","couple",0.673082544300129,10000,15000,12427.4644993819,0.0706797134370086,0.0475732813505857,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"couple","couple",0.673082544300129,15000,20000,17492.0315107914,0.0485759217193779,0.0326956049826028,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"couple","couple",0.673082544300129,20000,30000,24881.5224955437,0.0735191333216844,0.0494844453108997,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"couple","couple",0.673082544300129,30000,50000,39753.5941221741,0.0908177529267866,0.061127844207582,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"couple","couple",0.673082544300129,50000,75000,61416.5208953168,0.0634282718853748,0.0426924626211684,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"couple","couple",0.673082544300129,75000,1e+05,86258.5386440678,0.0335051546391753,0.0225517347317053,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
"IRD taxable income, MSD OIA payment mix, Stats NZ living-arrangement age gradient","statsnz_age_msd_calibrated_clipped","70-74",70,75,"couple","couple",0.673082544300129,100000,150000,120419.016899225,0.0281757819325529,0.0189646269908083,2024,"wage","public_source_proxy;taxable_income;payment_category_independence;negative_residuals_clipped"
