"year","age","sex","population"
2047,74,"female",31294.741254558
2047,75,"female",31681.3944125886
2047,76,"female",31622.8729332618
2047,77,"female",29840.7985784885
2047,78,"female",29280.9106086053
2047,79,"female",28013.3702916067
2047,80,"female",26994.4002698602
2047,81,"female",25597.3154497137
2047,82,"female",25053.7835050137
2047,83,"female",24804.8483903275
2047,84,"female",24188.4221965203
2047,85,"female",22739.8859718868
2047,86,"female",20715.7372623402
2047,87,"female",18444.0063743022
2047,88,"female",16683.8451063077
2047,89,"female",14587.1456143893
2047,90,"female",12609.4195952482
2047,91,"female",10708.9850291425
2047,92,"female",8827.36617122131
2047,93,"female",7154.19862400294
2047,94,"female",5590.66667930289
2047,95,"female",15364.5002292454
2048,0,"female",33744.2432281273
2048,1,"female",33820.0941818649
2048,2,"female",33976.4768523301
2048,3,"female",34177.5402857855
2048,4,"female",34390.9441007359
2048,5,"female",34557.6734109188
2048,6,"female",34721.7156998891
2048,7,"female",35198.7306351748
2048,8,"female",35306.3902536798
2048,9,"female",35410.43254265
2048,10,"female",35591.0069732319
2048,11,"female",35740.2617419199
2048,12,"female",35975.5789091967
2048,13,"female",36144.5154757413
2048,14,"female",36495.7903540478
2048,15,"female",32553.2667519566
2048,16,"female",32882.1526287651
2048,17,"female",33199.328548282
2048,18,"female",33438.235355837
2048,19,"female",33636.8688652806
2048,20,"female",33726.3348437508
2048,21,"female",33770.8688815255
2048,22,"female",33810.707613531
2048,23,"female",33899.3829844675
2048,24,"female",33683.3002573956
2048,25,"female",34185.1666513482
2048,26,"female",37378.0818312017
2048,27,"female",37761.3404777905
2048,28,"female",38318.4043671906
2048,29,"female",39338.6567345554
2048,30,"female",39981.1067584242
2048,31,"female",41215.0732692299
2048,32,"female",41346.0544315582
2048,33,"female",42388.4931838132
2048,34,"female",42893.2795889527
2048,35,"female",44240.1848827335
2048,36,"female",44763.3314992055
2048,37,"female",45164.6770590154
2048,38,"female",45576.5692150479
2048,39,"female",44989.8487923831
2048,40,"female",45893.01429267
2048,41,"female",45109.1179504882
2048,42,"female",43257.2467252022
2048,43,"female",42810.0917364316
2048,44,"female",42894.4645062119
2048,45,"female",42088.7911981079
2048,46,"female",42194.7126571853
2048,47,"female",42914.8246873021
2048,48,"female",43227.0320029386
2048,49,"female",41644.5932506837
2048,50,"female",42629.4571601013
2048,51,"female",42861.3000782562
2048,52,"female",42932.2110719604
2048,53,"female",43876.6749411111
2048,54,"female",44067.1095072168
2048,55,"female",45241.8702180531
2048,56,"female",45584.4911690489
2048,57,"female",45927.1121200448
2048,58,"female",45103.7414433392
2048,59,"female",43407.315249532
